model_file,avg_loss,avg_dice,avg_iou,avg_pixel_acc
1,0.67921787,0.3443,0.2131,0.2058
2,0.67907674,0.3456,0.2131,0.2058
3,0.67468645,0.3464,0.2131,0.2058
4,0.678037887,0.3443,0.2131,0.2058
5,0.675353284,0.3455,0.2131,0.2058
6,0.673383178,0.3463,0.2131,0.2058
7,0.674064456,0.3453,0.2131,0.2058
8,0.672909844,0.3457,0.2131,0.2058
9,0.672559083,0.3451,0.2133,0.2066
10,0.670382821,0.3458,0.2133,0.2064
11,0.669232033,0.3455,0.2131,0.2058
12,0.66364921,0.3454,0.2133,0.2068
13,0.668207334,0.3477,0.2136,0.2692
14,0.66302563,0.3449,0.2133,0.2075
15,0.663716556,0.3449,0.2133,0.2071
16,0.659896189,0.3458,0.2134,0.2069
17,0.662387421,0.3437,0.213,0.2106
18,0.663390756,0.345,0.2133,0.2077
19,0.670234063,0.3443,0.2133,0.2072
20,0.66137551,0.3463,0.2139,0.2093
21,0.662308726,0.3472,0.2145,0.2136
22,0.662168169,0.3468,0.2144,0.2155
23,0.661648656,0.3468,0.2141,0.2113
24,0.66135519,0.3516,0.219,0.2347
25,0.658991485,0.35,0.2164,0.2215
26,0.656352674,0.3475,0.2158,0.2188
27,0.657949901,0.346,0.2134,0.2142
28,0.656698053,0.3475,0.2143,0.2229
29,0.659388523,0.3567,0.2222,0.2751
30,0.656302886,0.3476,0.2154,0.2171
31,0.653442551,0.3506,0.2175,0.2278
32,0.655633608,0.3514,0.2177,0.2269
33,0.656301221,0.3503,0.217,0.2235
34,0.656948957,0.3646,0.2273,0.2773
35,0.65283587,0.3472,0.215,0.2144
36,0.650403855,0.3502,0.2162,0.2206
37,0.660647207,0.3579,0.2239,0.2559
38,0.651609663,0.3678,0.2308,0.2824
39,0.649622597,0.3587,0.2229,0.2492
40,0.655029392,0.3615,0.2247,0.2582
41,0.649250616,0.3535,0.2208,0.2393
42,0.656683114,0.3548,0.2202,0.2479
43,0.653002704,0.3538,0.2187,0.2316
44,0.65633939,0.3672,0.2332,0.2957
45,0.648260853,0.371,0.2329,0.2928
46,0.650120024,0.364,0.2277,0.2705
47,0.648293881,0.3655,0.2296,0.277
48,0.650061594,0.3759,0.2391,0.3155
49,0.648954143,0.3599,0.2241,0.2585
50,0.647914577,0.3652,0.2293,0.2814
51,0.652872428,0.3686,0.2328,0.291
52,0.653649693,0.3801,0.2399,0.3236
53,0.648892381,0.3993,0.2581,0.3992
54,0.652004932,0.3649,0.2291,0.273
55,0.64877508,0.4345,0.2838,0.4736
56,0.650812537,0.4681,0.3136,0.5564
57,0.648231822,0.38,0.2392,0.3209
58,0.647838258,0.4026,0.2587,0.3942
59,0.646007905,0.4522,0.3012,0.5135
60,0.647127827,0.4491,0.2989,0.5054
61,0.648331302,0.5526,0.3906,0.6828
62,0.647958247,0.3798,0.2419,0.3253
63,0.648512016,0.4885,0.3295,0.5743
64,0.646029996,0.5893,0.4297,0.7323
65,0.645642281,0.4901,0.3346,0.5844
66,0.648848402,0.4843,0.3269,0.5733
67,0.646728401,0.4607,0.3081,0.5432
68,0.648898159,0.6385,0.478,0.7898
69,0.648627599,0.3948,0.2513,0.3678
70,0.647678063,0.4686,0.3129,0.5536
71,0.646181222,0.6014,0.4378,0.7414
72,0.646280982,0.4613,0.3061,0.5354
73,0.646107579,0.5403,0.3815,0.674
74,0.645263045,0.5168,0.3578,0.6348
75,0.646304859,0.4587,0.3068,0.5322
76,0.647560376,0.5736,0.411,0.7187
77,0.645955042,0.4296,0.2793,0.4553
78,0.651143916,0.42,0.2753,0.4282
79,0.645159569,0.46,0.3084,0.5094
80,0.644473465,0.5822,0.4204,0.7244
81,0.644948167,0.6146,0.4512,0.7601
82,0.649698423,0.506,0.348,0.6087
83,0.647409081,0.6686,0.5073,0.8089
84,0.64462667,0.4015,0.2593,0.3944
85,0.648234066,0.5939,0.4302,0.736
86,0.645993493,0.5815,0.4202,0.7316
87,0.648042281,0.6366,0.4768,0.7896
88,0.646266504,0.5964,0.4366,0.7535
89,0.645133858,0.5256,0.3675,0.6474
90,0.646271279,0.6371,0.4759,0.7934
91,0.648008496,0.5659,0.4056,0.6932
92,0.647826058,0.4787,0.3237,0.5593
93,0.649610441,0.4263,0.2802,0.4539
94,0.646176998,0.4536,0.3025,0.5091
95,0.645800461,0.6813,0.5261,0.8279
96,0.645054238,0.618,0.4577,0.7689
97,0.644964684,0.6973,0.5424,0.8373
98,0.646200735,0.6617,0.5025,0.8067
99,0.645773054,0.7011,0.547,0.8377
100,0.645463662,0.6345,0.4734,0.7893
101,0.6450155,0.6588,0.5014,0.8042
102,0.644420206,0.5874,0.4237,0.7313
103,0.644062173,0.6676,0.5115,0.808
104,0.645136891,0.6689,0.5093,0.8115
105,0.644274734,0.723,0.5732,0.8574
106,0.64383223,0.7135,0.5626,0.8498
107,0.644883417,0.6699,0.5122,0.8173
108,0.644827194,0.7166,0.5661,0.8511
109,0.645072366,0.6573,0.5,0.8026
110,0.64595953,0.6432,0.4808,0.7855
111,0.648514768,0.6043,0.4449,0.7579
112,0.645130753,0.6157,0.4518,0.7581
113,0.648409114,0.5413,0.3806,0.6683
114,0.643979705,0.6721,0.5132,0.8161
115,0.644869977,0.792,0.6615,0.9014
116,0.647942056,0.739,0.5938,0.8704
117,0.644686792,0.7257,0.5761,0.8589
118,0.6451382,0.6566,0.498,0.8069
119,0.64440458,0.7221,0.5739,0.8561
120,0.6462078,0.7009,0.5482,0.8524
121,0.643546694,0.73,0.5824,0.8584
122,0.644006179,0.7271,0.5793,0.8596
123,0.644368095,0.7347,0.5875,0.8636
124,0.645999708,0.6677,0.5082,0.811
125,0.645014489,0.7732,0.6356,0.8898
126,0.644619202,0.6287,0.4673,0.7762
127,0.644789977,0.7133,0.5621,0.8473
128,0.645727456,0.6367,0.4749,0.7853
129,0.644966534,0.734,0.5879,0.865
130,0.645815152,0.7591,0.6193,0.8791
131,0.644554703,0.754,0.6109,0.876
132,0.643746766,0.7806,0.646,0.8936
133,0.644478165,0.7592,0.62,0.8841
134,0.646231199,0.7369,0.5922,0.8697
135,0.643286282,0.7925,0.6631,0.9028
136,0.646565527,0.7797,0.646,0.8902
137,0.646788984,0.7341,0.5861,0.8673
138,0.645497752,0.738,0.594,0.8667
139,0.644932551,0.7596,0.622,0.883
140,0.644295253,0.7325,0.5851,0.8637
141,0.646423244,0.7398,0.5944,0.8721
142,0.643461829,0.7902,0.6591,0.8964
143,0.643786802,0.7874,0.6564,0.8997
144,0.644443322,0.787,0.655,0.9003
145,0.649755227,0.668,0.5112,0.8127
146,0.643329148,0.7719,0.6349,0.888
147,0.645026336,0.7519,0.6101,0.8746
148,0.6428824,0.7872,0.6566,0.897
149,0.643173583,0.7463,0.6031,0.8693
150,0.643104533,0.7713,0.6332,0.8898
151,0.642869948,0.7979,0.6693,0.9043
152,0.642250951,0.7649,0.6258,0.8863
153,0.643952613,0.7277,0.5801,0.857
154,0.645446356,0.7948,0.6654,0.9021
155,0.645397708,0.7898,0.6606,0.9073
156,0.644528795,0.7693,0.6323,0.8836
157,0.643692515,0.7965,0.6676,0.9046
158,0.645953347,0.7532,0.6142,0.8792
159,0.643360561,0.8085,0.6867,0.9128
160,0.642617427,0.7821,0.6484,0.8959
161,0.643934866,0.7413,0.5981,0.873
162,0.642817312,0.8016,0.6746,0.9052
163,0.643027246,0.7871,0.6577,0.8991
164,0.643604176,0.7948,0.6658,0.9011
165,0.642789254,0.7959,0.6687,0.9046
166,0.64513948,0.7895,0.6577,0.8973
167,0.643588394,0.7602,0.6208,0.8813
168,0.650488582,0.7434,0.6026,0.8733
169,0.643711712,0.7861,0.6551,0.8987
170,0.646087559,0.7694,0.6342,0.8881
171,0.643109352,0.7867,0.6552,0.8964
172,0.642337205,0.7741,0.6374,0.8878
173,0.64626936,0.7332,0.5857,0.8592
174,0.650791839,0.6962,0.5447,0.8327
175,0.643021029,0.7845,0.6518,0.8927
176,0.643655124,0.7126,0.5639,0.8466
177,0.643615382,0.7964,0.6699,0.9047
178,0.643441589,0.7584,0.6187,0.8835
179,0.643054623,0.8069,0.6827,0.9079
180,0.643193274,0.77,0.6319,0.887
181,0.644108132,0.8109,0.6872,0.9122
182,0.64149153,0.8009,0.6747,0.9052
183,0.642270875,0.8191,0.7004,0.9187
184,0.644616598,0.7731,0.6362,0.8848
185,0.641925343,0.7988,0.6694,0.9048
186,0.644043072,0.7731,0.6363,0.8905
187,0.645744947,0.7219,0.5732,0.8561
188,0.642528742,0.805,0.6806,0.9079
189,0.643011957,0.8072,0.6844,0.9099
190,0.64248735,0.7912,0.6608,0.8975
191,0.645615394,0.741,0.5956,0.8691
192,0.645026539,0.7684,0.6315,0.884
193,0.644638148,0.7928,0.6636,0.8991
194,0.643523389,0.7957,0.6689,0.9046
195,0.643570775,0.7377,0.5924,0.8685
196,0.642318071,0.8028,0.6787,0.9071
197,0.642818185,0.8128,0.6892,0.9111
198,0.642138099,0.8004,0.6722,0.9051
199,0.641850551,0.7973,0.6697,0.9036
200,0.641796365,0.7902,0.6604,0.9
201,0.645987029,0.7083,0.5556,0.8447
202,0.642748766,0.7796,0.6466,0.8926
203,0.642380349,0.7586,0.6204,0.8835
204,0.642233897,0.7968,0.671,0.9039
205,0.641556383,0.792,0.6627,0.9032
206,0.64204843,0.7944,0.6654,0.9034
207,0.646175717,0.7418,0.6009,0.8702
208,0.642658132,0.7925,0.6626,0.9
209,0.642933514,0.7955,0.6664,0.9029
210,0.641216826,0.8211,0.7058,0.9177
211,0.645280617,0.7327,0.5899,0.8688
212,0.643883295,0.7791,0.6458,0.8982
213,0.641989146,0.7346,0.589,0.8631
214,0.641858284,0.8096,0.6871,0.9125
215,0.642340783,0.8156,0.6948,0.915
216,0.642664191,0.8226,0.7047,0.9209
217,0.641061262,0.8016,0.6749,0.9042
218,0.645367359,0.7593,0.623,0.8835
219,0.642295713,0.7887,0.658,0.8995
220,0.641974041,0.8236,0.7071,0.9159
221,0.642088703,0.7975,0.6691,0.904
222,0.641750395,0.7972,0.6694,0.9021
223,0.643220039,0.7375,0.5961,0.8637
224,0.647168281,0.6774,0.5264,0.824
225,0.64185666,0.7812,0.6498,0.8953
226,0.641534893,0.789,0.6605,0.9003
227,0.641778597,0.8171,0.6985,0.916
228,0.641830958,0.7692,0.6313,0.8812
229,0.642919537,0.8063,0.6828,0.904
230,0.641136342,0.8248,0.7076,0.9176
231,0.642239825,0.8231,0.7062,0.9206
232,0.640907509,0.8321,0.7167,0.9189
233,0.643264121,0.8041,0.6781,0.9107
234,0.642286828,0.8026,0.6769,0.9059
235,0.643264033,0.7921,0.6636,0.8993
236,0.64184392,0.8261,0.7122,0.9222
237,0.64095294,0.8107,0.6883,0.9108
238,0.643705115,0.8219,0.7039,0.9215
239,0.644008101,0.7032,0.5502,0.8413
240,0.644990455,0.6833,0.5271,0.8267
241,0.641127936,0.8031,0.6775,0.9059
242,0.643882235,0.7815,0.6511,0.8953
243,0.640646472,0.8272,0.7102,0.9193
244,0.640978979,0.8172,0.6969,0.9139
245,0.640717311,0.8195,0.7011,0.9186
246,0.641244358,0.7663,0.6309,0.8839
247,0.647939956,0.7103,0.5592,0.8443
248,0.645475308,0.7373,0.5915,0.8638
249,0.641538736,0.8007,0.6748,0.9047
250,0.640567817,0.802,0.6766,0.906
251,0.642587857,0.7769,0.6444,0.8881
252,0.640509511,0.7882,0.658,0.8956
253,0.641267061,0.7964,0.6679,0.9022
254,0.642149443,0.7291,0.5831,0.8577
255,0.64213137,0.7637,0.6248,0.8813
256,0.640675174,0.8094,0.6847,0.9076
257,0.640860444,0.8039,0.6799,0.9072
258,0.642896216,0.7892,0.6599,0.8956
259,0.640879629,0.7616,0.6229,0.8779
260,0.640052703,0.7932,0.6623,0.8979
261,0.641333438,0.7333,0.5901,0.8607
262,0.64108954,0.8172,0.6988,0.9188
263,0.641427511,0.7899,0.6615,0.8982
264,0.643303351,0.7696,0.6321,0.8819
265,0.642636986,0.7267,0.582,0.8547
266,0.640419778,0.7849,0.6501,0.8909
267,0.646016944,0.668,0.5185,0.8123
268,0.640186506,0.8043,0.6777,0.9019
269,0.641160131,0.7875,0.6568,0.8927
270,0.641242795,0.8142,0.6911,0.9113
271,0.643337742,0.7361,0.5922,0.8595
272,0.640313494,0.8362,0.7236,0.9242
273,0.640349474,0.8096,0.6877,0.906
274,0.640088145,0.8044,0.6807,0.9054
275,0.643994043,0.7454,0.6059,0.8733
276,0.640619972,0.7734,0.6405,0.8908
277,0.643910961,0.7249,0.576,0.8519
278,0.641498591,0.7834,0.6524,0.8981
279,0.640385498,0.7922,0.6621,0.8989
280,0.640172428,0.7931,0.6639,0.8995
281,0.643384965,0.627,0.4651,0.7692
282,0.640020826,0.8013,0.6738,0.9037
283,0.640981523,0.757,0.617,0.8762
284,0.640737612,0.7944,0.6676,0.9017
285,0.640095125,0.7782,0.6452,0.89
286,0.639434519,0.8078,0.6841,0.9085
287,0.641835734,0.7826,0.6489,0.8877
288,0.642456381,0.7739,0.6418,0.8862
289,0.641934552,0.7689,0.6321,0.8825
290,0.641098562,0.8211,0.7026,0.9135
291,0.641738528,0.7721,0.6343,0.8811
292,0.639568866,0.8025,0.6756,0.9051
293,0.642050043,0.7219,0.578,0.8572
294,0.641032569,0.8169,0.6985,0.9169
295,0.643111052,0.701,0.5506,0.8407
296,0.64000012,0.7972,0.669,0.901
297,0.640747877,0.8076,0.6827,0.909
298,0.6422467,0.7739,0.6389,0.8898
299,0.641530435,0.7774,0.6452,0.8894
300,0.64117941,0.7939,0.664,0.8998
301,0.641276371,0.7877,0.6564,0.8954
302,0.640024706,0.8035,0.6792,0.9052
303,0.640459194,0.8032,0.6786,0.9062
304,0.639718788,0.8273,0.7117,0.9181
305,0.639778978,0.7786,0.6478,0.8904
306,0.641486103,0.8129,0.6901,0.9112
307,0.640794395,0.7392,0.5945,0.8659
308,0.640122459,0.7756,0.6426,0.8891
309,0.63991528,0.8177,0.6983,0.912
310,0.640788983,0.8017,0.6756,0.9068
311,0.641164444,0.7961,0.6665,0.899
312,0.640274879,0.8165,0.6962,0.9119
313,0.640893667,0.7536,0.6103,0.875
314,0.638998335,0.8143,0.6929,0.9104
315,0.639852174,0.8208,0.7039,0.918
316,0.639924468,0.8297,0.7137,0.9186
317,0.639740784,0.812,0.6904,0.9095
318,0.639492767,0.8079,0.6856,0.9067
319,0.640209051,0.8372,0.7263,0.924
320,0.64025001,0.8299,0.714,0.9195
321,0.639283191,0.8139,0.6923,0.9097
322,0.639728642,0.8316,0.7181,0.9224
323,0.639500709,0.819,0.7003,0.9181
324,0.640378671,0.7802,0.6465,0.8894
325,0.639679971,0.7596,0.6223,0.8762
